实体,属性类型
E8Q Pro,
E8Q,
E7Q,
E7N Pro,
E5Q Pro,
E52Q,
E5Q,
E3Q Pro,
贴贴壁纸电视,
发现X Pro,
发现Xpro 26,
2026款,款式
26款,款式
发现X,
发现X26,
发现X Mini,
发现Xmini 26,
X Plus,
极致X Pro,
2025款,款式
25款,款式
发现X,
2025款,款式
A7F Pro,
A7F,
A6F Pro+,
A6F Pro,
A5F pro,
Mini,
A4F,
A7E Pro,
A7E,
A5D Pro,
A7F Pro,
壁纸电视,款式
A7F,
A5F Pro,
A5F+,
A5F,
艺术款,款式
A6F Pro,
A4F pro,
A6F PRO+,
鹤7,
鹤7 Pro,
鹤6,
鹤6 Ultra,
鹤6 Pro,
MAX,
鹏7,
鹏6 SE,
Q10M Ultra,
Q10M U,
Q10L Pro,
Q10L P,
Q10L,
Q9M,
Q9L Pro,
Q9L P,
Q9L,
T7L Ultra,
T7L Pro,
T7L,
T6L Pro,
T6L,
T5M,
116寸,尺寸
100寸,尺寸
85寸,尺寸
75寸,尺寸
65寸,尺寸
55寸,尺寸
50寸,尺寸
98寸,尺寸
115寸,尺寸
T80,
T80S,
T80S pro,
T50 PRO,
X9,
X9PRO,
X11,
X11PRO,
X11旋风,
W2S基站,
W2S,
超薄,款式
全能版,版本
旗舰,产品定位
新品,产品定位
高端,产品定位
黑银,颜色
黑金,颜色
黑,颜色
白银,颜色
S30PU,
S30PU焕新版,
S30Pro Ultra,
S30Pro Ultra焕新,
S40,
S40s,
S40铂金,
S50,
S50sPro,
S50MAX,
X50 Pro,
X50 Pro履带版,
X50spro,
X50spro增强,
X50s Pro履带,
T60 Ultra,
T20,
T40S,
T40 Ultra,
T50 Ultra,
T50 梦想家,
T50 Mix,
H30 Combo,
H40 Ultra,
H40 Steam,
H60 Ultra,
T60 Ultra,
J6,
逍遥002max,
J5max,
逍遥001MAX,
S2 ISLAND,
S3 Se,
F2,
S3 ISLAND,
增强版,版本
滚筒版,版本
超薄版,版本
水箱版,版本
超薄上下水版,版本
上下水版,版本
光辉版,版本
标准版,版本
焕新版,版本
履带版,版本
旋锋版,版本
P20,
P20 Ultra,
P20U,
P20 Ultra Plus,
P20UP,
P20 Plus,
P20 Pro,
P20,
G20S Ultra,
G30,
G30 U,
G30 Space,
H50 Ultra,
H50pro,
H50,
A30 pro ultra,
A30 Pro Steam,
A30 Pro Combo,
A30,
A30 Pro,
活水版,版本
新品,产品定位
五合一,版本
